(SOD_env) user-511@z640:~/small_object_detect$ python train4.py 
🔥 사용 중인 디바이스: cuda | GPU 개수: 2개
총 161381장의 실제 이미지를 불러왔습니다.
/home/user-511/miniconda3/envs/SOD_env/lib/python3.8/site-packages/torch/nn/utils/weight_norm.py:134: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)
🚀 듀얼 GPU(DataParallel) 모드를 활성화합니다!
🔥 모드 콜랩스 방지 코드 적용 완료! 16만 장 듀얼 GPU 집중 학습을 시작합니다...
Epoch [1/15] | Step [1000/10086] | Loss: 8.9798
Epoch [1/15] | Step [1010/10086] | Loss: 8.9595
Epoch [1/15] | Step [1020/10086] | Loss: 8.9763
Epoch [1/15] | Step [1030/10086] | Loss: 8.9737
Epoch [1/15] | Step [1040/10086] | Loss: 8.9578
Epoch [1/15] | Step [1050/10086] | Loss: 8.9511
Epoch [1/15] | Step [1060/10086] | Loss: 8.9548
Epoch [1/15] | Step [1070/10086] | Loss: 8.9548
Epoch [1/15] | Step [1080/10086] | Loss: 8.9521
Epoch [1/15] | Step [1090/10086] | Loss: 8.9440
Epoch [1/15] | Step [1100/10086] | Loss: 8.9533
Epoch [1/15] | Step [1110/10086] | Loss: 8.9586
Epoch [1/15] | Step [1120/10086] | Loss: 8.9521
Epoch [1/15] | Step [1130/10086] | Loss: 8.9494
Epoch [1/15] | Step [1140/10086] | Loss: 8.9495
Epoch [1/15] | Step [1150/10086] | Loss: 8.9652
Epoch [1/15] | Step [1160/10086] | Loss: 8.9434
Epoch [1/15] | Step [1170/10086] | Loss: 8.9463
Epoch [1/15] | Step [1180/10086] | Loss: 8.9346
Epoch [1/15] | Step [1190/10086] | Loss: 8.9550
Epoch [1/15] | Step [1200/10086] | Loss: 8.9065
Epoch [1/15] | Step [1210/10086] | Loss: 8.9200
Epoch [1/15] | Step [1220/10086] | Loss: 8.9238
Epoch [1/15] | Step [1230/10086] | Loss: 8.9056
Epoch [1/15] | Step [1240/10086] | Loss: 8.9051
Epoch [1/15] | Step [1250/10086] | Loss: 8.9154
Epoch [1/15] | Step [1260/10086] | Loss: 8.9246
Epoch [1/15] | Step [1270/10086] | Loss: 8.9290
Epoch [1/15] | Step [1280/10086] | Loss: 8.9035
Epoch [1/15] | Step [1290/10086] | Loss: 8.8900
Epoch [1/15] | Step [1300/10086] | Loss: 8.8690
Epoch [1/15] | Step [1310/10086] | Loss: 8.8842
Epoch [1/15] | Step [1320/10086] | Loss: 8.8695
Epoch [1/15] | Step [1330/10086] | Loss: 8.8972
Epoch [1/15] | Step [1340/10086] | Loss: 8.9207
Epoch [1/15] | Step [1350/10086] | Loss: 8.8235
Epoch [1/15] | Step [1360/10086] | Loss: 8.8844
Epoch [1/15] | Step [1370/10086] | Loss: 8.8907
Epoch [1/15] | Step [1380/10086] | Loss: 8.8352
Epoch [1/15] | Step [1390/10086] | Loss: 8.9092
Epoch [1/15] | Step [1400/10086] | Loss: 8.8557
Epoch [1/15] | Step [1410/10086] | Loss: 8.8475
Epoch [1/15] | Step [1420/10086] | Loss: 8.8356
Epoch [1/15] | Step [1430/10086] | Loss: 8.8949
Epoch [1/15] | Step [1440/10086] | Loss: 8.8540
Epoch [1/15] | Step [1450/10086] | Loss: 8.8224
Epoch [1/15] | Step [1460/10086] | Loss: 8.8673
Epoch [1/15] | Step [1470/10086] | Loss: 8.8424
Epoch [1/15] | Step [1480/10086] | Loss: 8.7676
Epoch [1/15] | Step [1490/10086] | Loss: 8.8380
Epoch [1/15] | Step [1500/10086] | Loss: 8.7971
Epoch [1/15] | Step [1510/10086] | Loss: 8.7433
